,Direct,MinPrice,OutOrigin,OutDestination,OutboundCarrier,InboundCarrier,DepartureDate1,DepartureDate2,Distance,CPM,QuoteDateTime,MomondoLink,GoogleLink
0,False,649,LGA,TPE,ANA,ANA,2017-01-27 00:00:00,2017-02-07 00:00:00,7786.625477416616,4.167402181357514,2017-01-05 19:27:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=LGA&SD0=TPE&SDP0=27-01-2017&SO1=TPE&SD1=LGA&SDP1=07-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=LGA;t=TPE;d=2017-01-27;r=2017-02-07
1,False,682,LGA,KHH,,Japan Airlines,2017-01-18 00:00:00,2017-03-08 00:00:00,7967.312530737852,4.279987745986161,2017-01-10 13:53:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=LGA&SD0=KHH&SDP0=18-01-2017&SO1=KHH&SD1=LGA&SDP1=08-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=LGA;t=KHH;d=2017-01-18;r=2017-03-08
4,False,648,LGA,TSA,ANA,ANA,2017-01-27 00:00:00,2017-02-07 00:00:00,7782.871754483507,4.162987779072065,2017-01-05 19:27:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=LGA&SD0=TSA&SDP0=27-01-2017&SO1=TSA&SD1=LGA&SDP1=07-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=LGA;t=TSA;d=2017-01-27;r=2017-02-07
5,False,630,JFK,KHH,China Eastern,China Eastern,2017-04-24 00:00:00,2017-05-05 00:00:00,7977.734703359122,3.9484892856535505,2017-01-12 00:40:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=JFK&SD0=KHH&SDP0=24-04-2017&SO1=KHH&SD1=JFK&SDP1=05-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=JFK;t=KHH;d=2017-04-24;r=2017-05-05
9,True,624,JFK,TPE,EVA Air,EVA Air,2017-04-10 00:00:00,2017-05-04 00:00:00,7797.059597424834,4.001508467410528,2017-01-06 00:52:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=JFK&SD0=TPE&SDP0=10-04-2017&SO1=TPE&SD1=JFK&SDP1=04-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=JFK;t=TPE;d=2017-04-10;r=2017-05-04
10,False,491,JFK,TPE,China Eastern,China Eastern,2017-05-03 00:00:00,2017-06-01 00:00:00,7797.059597424834,3.1486228485554,2016-12-31 16:34:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=JFK&SD0=TPE&SDP0=03-05-2017&SO1=TPE&SD1=JFK&SDP1=01-06-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=JFK;t=TPE;d=2017-05-03;r=2017-06-01
11,False,491,JFK,TSA,China Eastern,China Eastern,2017-04-30 00:00:00,2017-06-15 00:00:00,7793.318205273334,3.150134429694952,2016-12-31 16:41:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=JFK&SD0=TSA&SDP0=30-04-2017&SO1=TSA&SD1=JFK&SDP1=15-06-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=JFK;t=TSA;d=2017-04-30;r=2017-06-15
15,False,801,BOS,KHH,,,2017-02-28 00:00:00,2017-03-23 00:00:00,7893.840657233363,5.073575935853352,2017-01-10 03:24:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=BOS&SD0=KHH&SDP0=28-02-2017&SO1=KHH&SD1=BOS&SDP1=23-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=BOS;t=KHH;d=2017-02-28;r=2017-03-23
17,False,645,BOS,TPE,,,2017-03-01 00:00:00,2017-04-24 00:00:00,7714.204083218231,4.180599793847541,2016-12-31 02:27:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=BOS&SD0=TPE&SDP0=01-03-2017&SO1=TPE&SD1=BOS&SDP1=24-04-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=BOS;t=TPE;d=2017-03-01;r=2017-04-24
18,False,841,BOS,TSA,ANA,ANA,2017-05-18 00:00:00,2017-07-03 00:00:00,7711.362228581658,5.452992448486524,2017-01-06 04:53:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=BOS&SD0=TSA&SDP0=18-05-2017&SO1=TSA&SD1=BOS&SDP1=03-07-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=BOS;t=TSA;d=2017-05-18;r=2017-07-03
