,CarrierId,Name
0,471,Jet Airways
1,838,Air France
2,1324,KLM
3,1333,Kuwait Airways
4,1368,Lufthansa
5,1618,Qatar Airways
0,7,Vueling Airlines
1,1001,Norwegian
2,1047,eurowings
0,834,Air Berlin
2,857,Finnair
3,881,British Airways
5,1033,Aer Lingus
6,1218,Iberia
9,1701,XL Airways France
10,1707,SAS
11,1760,TAP Portugal
12,1793,United
13,1929,WOW air
0,819,Aegean Airlines
2,858,Alitalia
8,1384,Swiss
9,1571,Ukraine International
12,1816,Air Europa
3,1190,transavia
7,1515,Czech Airlines
5,1050,easyJet
0,835,Air Canada
2,981,Condor
4,1081,Icelandair
7,1710,Brussels Airlines
9,1763,Air Transat
3,1035,Emirates
4,1161,Pegasus Airlines
7,1427,EgyptAir
11,1717,Aeroflot
12,1718,Saudia
8,1755,Turkish Airlines
0,105,Thomas Cook Airlines
9,1375,LOT
12,1758,Air Tahiti Nui
8,1523,Austrian Airlines
3,900,airBaltic
4,1285,Air Serbia
2,885,Flybe
7,1715,Corsair
4,1751,Thai Airways
10,1914,Wizz Air
4,898,EVA Air
5,929,Air China
6,952,Cathay Pacific
7,1317,Korean Air
11,1530,Asiana Airlines
10,2041,Aigle Azur
4,1687,S7 Airlines
5,1189,Hainan Airlines
10,1429,China Eastern
4,1367,Luxair
7,1912,CityJet
1,1464,ANA
3,954,China Southern
1,845,Aeromexico
2,852,Royal Air Maroc
5,1274,LATAM Airlines Brasil
8,1276,Japan Airlines
11,1713,Singapore Airlines
13,1913,Oman Air
0,288,Etihad Airways
8,1044,Ethiopian Airlines
4,841,Air India
4,1126,Gulf Air
8,1416,Malaysia Airlines
10,1658,Royal Jordanian
5,1329,Kenya Airways
7,1825,Virgin Australia
3,1969,Blue Air
5,1663,TAROM
7,1413,MEA
0,836,Azul Airlines
4,1074,Bulgaria Air
7,1746,Tuifly.be
2,1103,Cobalt
1,1280,Adria
6,1325,Air Malta
11,1804,SriLankan Airlines
0,866,Belavia
0,821,HOP!
5,1323,Atlasglobal
8,1877,Mahan Air
8,1854,Vietnam Airlines
9,1768,Air Caraibes
1,1379,Jet2
0,1250,Azerbaijan Airlines
1,1563,PIA
1,854,Avianca
3,1361,LATAM Airlines Group
2,1765,Tunisair
4,1181,Air Seychelles
7,1419,Air Mauritius
11,1813,Air Austral
2,1782,Ural Airlines
0,1315,Air Astana
3,1953,SunExpress
6,1525,Croatia Airlines
0,242,Fly One
1,469,Air Moldova
0,1606,Qantas
1,1619,Smart Wings
2,996,TAAG Angola Airlines
1,840,Air Algerie
2,1448,Hong Kong Airlines
2,1947,Air Corsica
3,1412,Air Madagascar
2,1223,Meridiana
0,1121,Garuda Indonesia
2,1193,Uzbekistan Airways
0,417,Onur Air
1,454,Eurostar
3,890,Nouvelair
9,2058,La Compagnie
9,1859,Virgin Atlantic
13,2034,Monarch
2,889,Royal Brunei 
9,1482,Air New Zealand
2,1057,bmi regional
10,1570,Philippine Airlines
7,1907,WestJet
0,6,Thomson Airways
2,1106,Tianjin Airlines
1,338,Hahn Air Systems
2,436,Arik Air
0,1138,Aurigny
